timestamp,domain,dns_server,query_time_ms,total_queries,final_answer,trace_hops,error,status,dns_name,sample_num
2026-04-10T10:57:39.015539,qt-google-cloud-cdn.bronze.systems,8.8.8.8,473,1,,[473],,poor,Google DNS Primary,9
2026-04-10T10:58:09.508466,qt-google-cloud-cdn.bronze.systems,8.8.8.8,1319,1,,[1319],,poor,Google DNS Primary,10
2026-04-10T10:58:40.844518,qt-google-cloud-cdn.bronze.systems,8.8.4.4,23,1,,[23],,good,Google DNS Secondary,1
2026-04-10T10:59:10.891866,qt-google-cloud-cdn.bronze.systems,8.8.4.4,30,1,,[30],,good,Google DNS Secondary,2
2026-04-10T10:59:40.949558,qt-google-cloud-cdn.bronze.systems,8.8.4.4,41,1,,[41],,good,Google DNS Secondary,3
2026-04-10T11:00:11.010815,qt-google-cloud-cdn.bronze.systems,8.8.4.4,31,1,,[31],,good,Google DNS Secondary,4
2026-04-10T11:00:41.091749,qt-google-cloud-cdn.bronze.systems,8.8.4.4,37,1,,[37],,good,Google DNS Secondary,5
2026-04-10T11:01:11.178776,qt-google-cloud-cdn.bronze.systems,8.8.4.4,104,1,,[104],,warning,Google DNS Secondary,6
2026-04-10T11:01:41.316750,qt-google-cloud-cdn.bronze.systems,8.8.4.4,62,1,,[62],,good,Google DNS Secondary,7
2026-04-10T11:02:11.415251,qt-google-cloud-cdn.bronze.systems,8.8.4.4,28,1,,[28],,good,Google DNS Secondary,8
2026-04-10T11:02:41.468508,qt-google-cloud-cdn.bronze.systems,8.8.4.4,22,1,,[22],,good,Google DNS Secondary,9
2026-04-10T11:03:11.528399,qt-google-cloud-cdn.bronze.systems,8.8.4.4,28,1,,[28],,good,Google DNS Secondary,10
2026-04-10T11:03:41.576401,qt-google-cloud-cdn.bronze.systems,1.1.1.1,25,1,,[25],,good,Cloudflare DNS,1
2026-04-10T11:04:11.633705,qt-google-cloud-cdn.bronze.systems,1.1.1.1,22,1,,[22],,good,Cloudflare DNS,2
