target_name,Count,Mean (ms),Median (ms),Min (ms),Max (ms),Std (ms),Status
Target_1_www.instagram.com,10,330.58,321.35,298.25,397.51,29.09,✅ GOOD
Target_2_qt-google-cloud-cdn.bronze.systems,10,117.79,102.76,92.87,185.85,32.7,✅ GOOD
